JobID,JobName,VolumeName,Level,JobStatus,WeekNum,VolStatus,VolUseEnd,VolRecycleTime,DayOfWeek,StartTime,Files,GB
1,webserver-job,webserver-monthly-volnum-0,F,T,1,Used,NA,2018-01-03 22:00:02,Friday,2017-01-06 22:00:00,2030,0.058
21,webserver-job,webserver-weekly-volnum-0,F,T,2,Used,NA,2017-02-10 22:00:04,Friday,2017-01-13 22:00:00,2030,0.058
41,webserver-job,webserver-weekly-volnum-1,F,T,3,Used,NA,2017-02-17 22:00:03,Friday,2017-01-20 22:00:00,2030,0.058
45,webserver-job,webserver-daily-volnum-0,D,T,4,Used,NA,2017-02-04 22:00:04,Monday,2017-01-23 22:00:00,2029,0.058
49,webserver-job,webserver-daily-volnum-0,D,T,4,Used,NA,2017-02-04 22:00:04,Tuesday,2017-01-24 22:00:00,2029,0.058
53,webserver-job,webserver-daily-volnum-0,D,T,4,Used,NA,2017-02-04 22:00:04,Wednesday,2017-01-25 22:00:00,2029,0.058
57,webserver-job,webserver-daily-volnum-0,D,T,4,Used,NA,2017-02-04 22:00:04,Thursday,2017-01-26 22:00:00,2029,0.058
61,webserver-job,webserver-weekly-volnum-2,F,T,4,Append,2017-01-30 20:00:00,NA,Friday,2017-01-27 22:00:00,2030,0.058
65,webserver-job,webserver-daily-volnum-1,D,T,5,Append,2017-02-03 22:00:01,NA,Monday,2017-01-30 22:00:00,2029,0.058
69,webserver-job,webserver-daily-volnum-1,D,T,5,Append,2017-02-03 22:00:01,NA,Tuesday,2017-01-31 22:00:00,2029,0.058
73,webserver-job,webserver-daily-volnum-1,D,T,5,Append,2017-02-03 22:00:01,NA,Wednesday,2017-02-01 22:00:01,2029,0.058
77,webserver-job,webserver-daily-volnum-1,D,T,5,Append,2017-02-03 22:00:01,NA,Thursday,2017-02-02 22:00:00,2029,0.058
