JobID,JobName,VolumeName,Level,JobStatus,WeekNum,VolStatus,VolRecycleTime,DayOfWeek,StartTime,Files,GB
1,webserver-job,webserver-monthly-volnum-0,F,T,1,Used,2017-12-30 22:00:03,Monday,2017-01-02 22:00:00,2030,0.058
6,webserver-job,webserver-monthly-volnum-1,F,T,1,Used,2018-01-03 22:00:05,Friday,2017-01-06 22:00:02,2030,0.058
42,webserver-job,webserver-weekly-volnum-1,F,T,3,Used,2017-02-17 22:00:05,Friday,2017-01-20 22:00:02,2030,0.058
59,webserver-job,webserver-weekly-volnum-2,F,T,4,Used,2017-02-24 22:00:05,Friday,2017-01-27 22:00:02,2030,0.058
76,webserver-job,webserver-monthly-volnum-2,F,T,5,Append,NA,Friday,2017-02-03 22:00:02,2030,0.058
93,webserver-job,webserver-weekly-volnum-3,F,T,6,Used,2017-03-10 22:00:05,Friday,2017-02-10 22:00:02,2030,0.058
106,webserver-job,webserver-daily-volnum-0,D,T,7,Used,2017-02-25 22:00:05,Monday,2017-02-13 22:00:03,2028,0.058
107,webserver-job,webserver-daily-volnum-0,D,T,7,Used,2017-02-25 22:00:05,Tuesday,2017-02-14 22:00:02,2028,0.058
108,webserver-job,webserver-daily-volnum-0,D,T,7,Used,2017-02-25 22:00:05,Wednesday,2017-02-15 22:00:02,2028,0.058
109,webserver-job,webserver-daily-volnum-0,D,T,7,Used,2017-02-25 22:00:05,Thursday,2017-02-16 22:00:02,2028,0.058
110,webserver-job,webserver-weekly-volnum-0,F,T,7,Append,NA,Friday,2017-02-17 22:00:02,2030,0.058
123,webserver-job,webserver-daily-volnum-1,D,T,8,Append,NA,Monday,2017-02-20 22:00:02,2028,0.058
124,webserver-job,webserver-daily-volnum-1,D,T,8,Append,NA,Tuesday,2017-02-21 22:00:02,2028,0.058
125,webserver-job,webserver-daily-volnum-1,D,T,8,Append,NA,Wednesday,2017-02-22 22:00:02,2028,0.058
